"","score","text"
"180",0,"#BaltimoreRiots #BaltimoreUprising #BlackLivesMatter http://t.co/bV33VXVSu8 Please RT"
"181",0,"Spread #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"182",0,"Please RT #Baltimore #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"183",0,"#Baltimore #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/FBfXhAdIMW"
"184",0,"* ##BaltimoreRiots #BaltimoreUprising #BlackLivesMatter *"
"185",0,"#BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/bCAbCd3a7s"
"186",0,"Spread #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter Please RT #Baltimore"
"187",0,"#Baltimore #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"188",0,"#BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/GPzXEmZhDQ Movement #Baltimore"
"189",0,"RT Spread #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/7CcsxnxVIr RT"
"190",0,"#BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/hnVg8TQLaz"
"191",0,"Spread #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/WJ5tN6oFIi Please RT #Baltimore"
"192",0,"#BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/rGqr2rXEZt"
"193",-4,"RT @chicago_iso: #BaltimoreUprising is fighting racist police terrorism and racist economic terrorism all at once. #Justice4Freddie http://…"
"194",0,"Spread #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter http://t.co/qEwwyBf2EU"
"195",0,"RT @SINice: I was looking for this #BaltimoreUprising http://t.co/Y833UZLsZQ"
"196",2,"RT @TheFinalCall: Street organizations work for peace http://t.co/mrc7xGpQy7 #BaltimoreUprising"
"197",0,"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB"
"198",0,"#BaltimoreRiots #BaltimoreUprising #BlackLivesMatter Please RT #Baltimore #FreddieGray"
"199",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"200",0,"#BaltimoreRiots #BaltimoreUprising #BlackLivesMatter RT"
"201",-1,"Contrasts between ConstitutionalTeaParty &amp;anarchists at Baltimore #teaparty #anarchist #BaltimoreUprising #Communism http://t.co/RzbTh4rJ1I"
"202",2,"RT @TheFinalCall: Street organizations work for peace http://t.co/mrc7xGpQy7 #BaltimoreUprising"
"203",2,"RT @TheFinalCall: Street organizations work for peace http://t.co/mrc7xGpQy7 #BaltimoreUprising"
"204",0,"RT @aimn2please: This Image Speaks For Itself. #BaltimoreUprising http://t.co/OT4ZFj12Ws"
"205",0,"RT @TheRoot: #LorettaLynch to be in Baltimore for official meetings following #BaltimoreUprising http://t.co/REJ9O2E9Jy http://t.co/JP8J27h…"
"206",1,"RT @righttoprotest: couple of hundred gathered now outside the US embassy in London for solidarity demo with #BaltimoreUprising http://t.co…"
"207",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"208",0,"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB"
"209",0,"RT @aimn2please: This Image Speaks For Itself. #BaltimoreUprising http://t.co/OT4ZFj12Ws"
"210",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"211",-4,"RT @chicago_iso: #BaltimoreUprising is fighting racist police terrorism and racist economic terrorism all at once. #Justice4Freddie http://…"
"212",0,"RT @FemMajority: These are the REAL looters of #Baltimore: http://t.co/fIrOCGjeta #BaltimoreUprising"
